p,time
0.0,69241951183072
0.00860936460060202,69242051183072
0.006745294424831627,69242151183072
0.0032304021361824198,69242251183072
0.012428179588823696,69242351183072
0.015352280422689546,69242451183072
0.01349979577457816,69242551183072
0.008779053805369585,69242651183072
0.01379615152450242,69242751183072
0.01684594897471925,69242851183072
-0.0002727552296164504,69242951183072
0.005208925821307275,69243051183072
0.008663216945024033,69243151183072
0.010309295551905961,69243251183072
0.012907782468687401,69243351183072
0.024087653156698252,69243451183072
0.011378982633232226,69243551183072
0.02337084231112385,69243651183072
0.015163900475954506,69243751183072
0.014175808181221328,69243851183072
0.020373313387608505,69243951183072
0.018355166510445997,69244051183072
0.013413560919730116,69244151183072
0.015632268314675457,69244251183072
0.02215354657437274,69244351183072
0.016249554853857262,69244451183072
0.010826891709371012,69244551183072
0.017922158495252916,69244651183072
0.011867061004409152,69244751183072
0.012415360417094234,69244851183072
0.02041995858678547,69244951183072
0.015445432475758025,69245051183072
0.020978431401999842,69245151183072
0.022609534207049364,69245251183072
0.014851895106971824,69245351183072
0.013816696274375317,69245451183072
0.01800145219181104,69245551183072
0.01171581039409375,69245651183072
0.012092080880734102,69245751183072
0.015132465472674994,69245851183072
0.020621618047016455,69245951183072
0.014161648735353083,69246051183072
0.018027997471335766,69246151183072
0.013807451581328678,69246251183072
0.01494167653106615,69246351183072
0.014384345596226922,69246451183072
0.013891807322238492,69246551183072
0.021176934254526714,69246651183072
0.019305963725059883,69246751183072
0.02499484960458176,69246851183072
0.01767419457030428,69246951183072
0.019634381707987814,69247051183072
0.016675073629699,69247151183072
0.017873400876624146,69247251183072
0.01878848291084978,69247351183072
0.01323064151915787,69247451183072
0.011895279848090468,69247551183072
0.01501875842291156,69247651183072
0.01883228805024828,69247751183072
0.014786020169708536,69247851183072
0.01840363434507708,69247951183072
0.018251124728408286,69248051183072
0.015919726954166435,69248151183072
0.012638997841122546,69248251183072
0.011366178408934502,69248351183072
0.01615435788050945,69248451183072
0.019113536408440268,69248551183072
0.01924496890831051,69248651183072
0.01829038477103495,69248751183072
0.017506298489479377,69248851183072
0.011747743337878092,69248951183072
0.017456416693789834,69249051183072
0.019226227548301722,69249151183072
0.018770696554383903,69249251183072
0.01614096623450223,69249351183072
0.01812666463069945,69249451183072
0.016906337855061793,69249551183072
0.01986123252015659,69249651183072
0.021427019396810465,69249751183072
0.01630919894193994,69249851183072
0.021428762554705827,69249951183072
0.018992948245340813,69250051183072
0.017667031985070025,69250151183072
0.018752952049226224,69250251183072
0.017445234757360595,69250351183072
0.01729363490801461,69250451183072
0.019785141718216437,69250551183072
0.019108145613813576,69250651183072
0.018280292833537715,69250751183072
0.016573198816786316,69250851183072
0.0180721557292145,69250951183072
0.022748142812815786,69251051183072
0.025859251543579376,69251151183072
0.016851984458753577,69251251183072
0.017318019622848624,69251351183072
0.017252286677830853,69251451183072
0.01820193419723637,69251551183072
0.01792133541835028,69251651183072
0.014871695492047365,69251751183072
0.016474982722684217,69251851183072
0.014844643110222933,69251951183072
0.018956590189191047,69252051183072
0.019031464596423575,69252151183072
0.013671642944814266,69252251183072
0.013149172925977837,69252351183072
0.01524216099323894,69252451183072
0.012123424189098841,69252551183072
0.010372995192938106,69252651183072
0.013320260591740407,69252751183072
0.017593402765328392,69252851183072
0.021087002053377546,69252951183072
0.019193531353607796,69253051183072
0.017047842600959484,69253151183072
0.01792402393004977,69253251183072
0.015535268604480734,69253351183072
0.0159056618873592,69253451183072
0.017799545393813787,69253551183072
0.02011948534698149,69253651183072
0.025432738438439628,69253751183072
0.02305661232219336,69253851183072
0.020340405154456676,69253951183072
0.019461472987927664,69254051183072
0.02213738090517836,69254151183072
0.021100476564811288,69254251183072
0.01957786186710564,69254351183072
0.018257944426068207,69254451183072
0.01971434296217467,69254551183072
0.01639686070279822,69254651183072
0.016347113110668943,69254751183072
0.018338323435273196,69254851183072
0.026314905898061625,69254951183072
0.027404172000160543,69255051183072
0.01809056380466245,69255151183072
0.019909989063989997,69255251183072
0.020800548804686514,69255351183072
0.019661637959188738,69255451183072
0.022283754167119696,69255551183072
0.024939557542097646,69255651183072
0.02481016905926481,69255751183072
0.022876865351122433,69255851183072
0.018909633194425624,69255951183072
0.01149782132074506,69256051183072
0.014553426009001669,69256151183072
0.013617521251262588,69256251183072
0.012128275021154877,69256351183072
0.01667384849793052,69256451183072
0.014473859849317705,69256551183072
