m,time
79.84249042527765,403993433626779
79.84249042527765,403993533626779
79.84249042527765,403993633626779
79.84249042527765,403993733626779
79.84249042527765,403993833626779
79.84249042527765,403993933626779
79.84249042527765,403994033626779
79.84249042527765,403994133626779
79.84249042527765,403994233626779
79.84249042527765,403994333626779
79.84249042527765,403994433626779
79.84249042527765,403994533626779
79.84249042527765,403994633626779
79.84249042527765,403994733626779
79.84249042527765,403994833626779
79.84249042527765,403994933626779
79.84249042527765,403995033626779
79.84249042527765,403995133626779
79.84249042527765,403995233626779
79.84249042527765,403995333626779
79.84249042527765,403995433626779
79.84249042527765,403995533626779
79.84249042527765,403995633626779
79.84249042527765,403995733626779
79.84249042527765,403995833626779
79.84249042527765,403995933626779
79.84249042527765,403996033626779
79.84249042527765,403996133626779
79.84249042527765,403996233626779
79.84249042527765,403996333626779
79.84249042527765,403996433626779
79.84249042527765,403996533626779
79.84249042527765,403996633626779
79.84249042527765,403996733626779
79.84249042527765,403996833626779
79.84249042527765,403996933626779
79.84249042527765,403997033626779
79.84249042527765,403997133626779
79.84249042527765,403997233626779
79.84249042527765,403997333626779
79.84249042527765,403997433626779
80.540433399646,403997533626779
80.60277575258299,403997633626779
79.30987376022814,403997733626779
79.32363176303535,403997833626779
80.64134232304446,403997933626779
81.09084264074188,403998033626779
81.5905405284292,403998133626779
82.27899452214744,403998233626779
81.91326010334474,403998333626779
81.04353887118305,403998433626779
81.32546546609282,403998533626779
81.65110696704926,403998633626779
83.12396158799615,403998733626779
85.32247669689788,403998833626779
85.72156383567949,403998933626779
86.66477423703512,403999033626779
87.3249529345163,403999133626779
87.50790356897556,403999233626779
87.10856002151077,403999333626779
86.27618162993232,403999433626779
87.02609256888579,403999533626779
87.02182007142456,403999633626779
86.61583372082153,403999733626779
85.24620838400047,403999833626779
81.83846607130972,403999933626779
80.84902695095516,404000033626779
80.95542275456695,404000133626779
81.02307276893559,404000233626779
83.6860190448671,404000333626779
83.33167465914153,404000433626779
82.94106598922585,404000533626779
83.70834541911647,404000633626779
84.38403216568605,404000733626779
85.79791745575064,404000833626779
88.5294709574737,404000933626779
89.28067656984032,404001033626779
89.31763532832218,404001133626779
89.8222920055786,404001233626779
91.32203478255846,404001333626779
94.26052980918914,404001433626779
94.59766821437641,404001533626779
94.46096731525033,404001633626779
91.97808112286938,404001733626779
90.83263044314727,404001833626779
92.22196526334918,404001933626779
94.14442633872827,404002033626779
93.7211120990484,404002133626779
94.15413976149276,404002233626779
95.95714529179172,404002333626779
96.18842742506634,404002433626779
96.1134859728249,404002533626779
98.12890283385653,404002633626779
99.00446948270745,404002733626779
99.02960980235578,404002833626779
99.0280783334041,404002933626779
100.15755842733181,404003033626779
103.48575255247346,404003133626779
104.6567983764334,404003233626779
104.21757303036843,404003333626779
102.87361099743075,404003433626779
103.10206438342692,404003533626779
105.6773474593853,404003633626779
105.92457788278867,404003733626779
105.48379790835392,404003833626779
104.02126661111917,404003933626779
101.3534274487661,404004033626779
101.05026760040039,404004133626779
100.56904291705591,404004233626779
99.69106670302858,404004333626779
99.06939289247849,404004433626779
98.86467213577785,404004533626779
99.88475866989172,404004633626779
99.03811562519817,404004733626779
95.2213856318739,404004833626779
93.62157774462739,404004933626779
93.15303271276973,404005033626779
89.9625439246715,404005133626779
88.65812475732615,404005233626779
90.1187695097645,404005333626779
90.61551172657992,404005433626779
90.66906506477896,404005533626779
88.6463965528484,404005633626779
86.84131917364532,404005733626779
86.72380202395131,404005833626779
