p,time
1005.47504,81585856135194
1005.4787568859443,81585956135194
1005.480920411294,81586056135194
1005.4828861893404,81586156135194
1005.4881269594596,81586256135194
1005.4848160331401,81586356135194
1005.479628789468,81586456135194
1005.4746686153915,81586556135194
1005.4731519519838,81586656135194
1005.4631603738914,81586756135194
1005.4599108290963,81586856135194
1005.4595592107992,81586956135194
1005.4480215075797,81587056135194
1005.4361674315653,81587156135194
1005.4311625223481,81587256135194
1005.4233192820822,81587356135194
1005.4253666604823,81587456135194
1005.4235659960087,81587556135194
1005.4222705266501,81587656135194
1005.4186459007166,81587756135194
1005.4144675942318,81587856135194
1005.4172818093163,81587956135194
1005.4105540422391,81588056135194
1005.4022017798629,81588156135194
1005.3960437334349,81588256135194
1005.392614482432,81588356135194
1005.3899133393005,81588456135194
1005.3882582042183,81588556135194
1005.3865481487029,81588656135194
1005.384315695825,81588756135194
1005.3802802486612,81588856135194
1005.3817971635364,81588956135194
1005.3819794477183,81589056135194
1005.3791135351037,81589156135194
1005.3716301721513,81589256135194
1005.3674752084759,81589356135194
1005.3593740866709,81589456135194
1005.3556959427862,81589556135194
1005.3566106424342,81589656135194
1005.3532151518751,81589756135194
1005.3509715318871,81589856135194
1005.3527779817048,81589956135194
1005.3540339777252,81590056135194
1005.350349787145,81590156135194
1005.3425494146804,81590256135194
1005.3428256835219,81590356135194
1005.3414149364872,81590456135194
1005.3358814551628,81590556135194
1005.3334204206628,81590656135194
1005.3288029071538,81590756135194
1005.3267249564617,81590856135194
1005.3264532753315,81590956135194
1005.3204537824466,81591056135194
1005.308957000221,81591156135194
1005.3004251815948,81591256135194
1005.2957121027108,81591356135194
1005.2928329485371,81591456135194
1005.2917,81591556135194
1005.2911736923413,81591656135194
1005.2883904042495,81591756135194
1005.2837836703749,81591856135194
1005.2808897734994,81591956135194
1005.27985,81592056135194
1005.2770917826525,81592156135194
1005.2707606127841,81592256135194
1005.2688,81592356135194
1005.2668232863933,81592456135194
1005.2621193330023,81592556135194
1005.25995,81592656135194
1005.2594683614792,81592756135194
1005.2573564504279,81592856135194
1005.2546578133757,81592956135194
1005.2523474698102,81593056135194
1005.2504,81593156135194
1005.2498714383476,81593256135194
1005.24839871271,81593356135194
1005.2449813080786,81593456135194
1005.2405919188234,81593556135194
1005.2373875399758,81593656135194
1005.2331876647844,81593756135194
1005.2289004730003,81593856135194
1005.2264814913135,81593956135194
1005.2242919104787,81594056135194
1005.21852244224,81594156135194
1005.2116301620342,81594256135194
1005.2084464867829,81594356135194
1005.2085209645095,81594456135194
1005.2105884354252,81594556135194
1005.2100175273279,81594656135194
1005.2091970030596,81594756135194
1005.2082660640068,81594856135194
1005.2048489369877,81594956135194
1005.1978889782212,81595056135194
1005.1932,81595156135194
1005.1857628270315,81595256135194
1005.176801391435,81595356135194
1005.174781888802,81595456135194
1005.1720982792406,81595556135194
1005.171138328667,81595656135194
1005.1700652304213,81595756135194
1005.1706673427226,81595856135194
1005.1690222364969,81595956135194
1005.1649407014002,81596056135194
1005.1638076477254,81596156135194
1005.1619863186604,81596256135194
1005.1574955965033,81596356135194
1005.1556251322299,81596456135194
1005.1546598102725,81596556135194
1005.15405,81596656135194
1005.1506981065033,81596756135194
1005.1480579890901,81596856135194
1005.1465103915995,81596956135194
1005.1507563922625,81597056135194
1005.1439223415603,81597156135194
1005.1349354104059,81597256135194
1005.1281066144887,81597356135194
1005.126,81597456135194
1005.126,81597556135194
1005.1261119713238,81597656135194
1005.1226132856684,81597756135194
1005.1225977072353,81597856135194
1005.1244227025514,81597956135194
1005.1274314250473,81598056135194
1005.12836,81598156135194
1005.1257880469732,81598256135194
1005.1277433132392,81598356135194
1005.1105361212294,81598456135194
1005.1061948363401,81598556135194
1005.1105711255499,81598656135194
1005.1118996023308,81598756135194
1005.1145970630566,81598856135194
1005.1072053283302,81598956135194
1005.0915258072129,81599056135194
1005.0817001354784,81599156135194
1005.0747507222017,81599256135194
1005.0818124183189,81599356135194
1005.0877471989622,81599456135194
1005.0948545888591,81599556135194
1005.1017470027358,81599656135194
1005.1129736757202,81599756135194
1005.1176478807145,81599856135194
1005.1092268558236,81599956135194
1005.1093819259756,81600056135194
1005.1144853870119,81600156135194
1005.1230184370825,81600256135194
1005.1224696344758,81600356135194
1005.120827818892,81600456135194
1005.1221534632701,81600556135194
1005.132101672481,81600656135194
1005.1215876961716,81600756135194
1005.12116578132,81600856135194
1005.122805526626,81600956135194
1005.1201420547081,81601056135194
1005.1184157732546,81601156135194
1005.1133389854537,81601256135194
1005.1017090821296,81601356135194
1005.1063470590115,81601456135194
1005.1132925695747,81601556135194
1005.1170357437992,81601656135194
1005.1236452387009,81601756135194
1005.12555,81601856135194
1005.1256125913168,81601956135194
1005.12897,81602056135194
1005.12897,81602156135194
1005.1290656810611,81602256135194
1005.1306474691908,81602356135194
1005.1242985343933,81602456135194
1005.1246498155782,81602556135194
1005.1229365848172,81602656135194
1005.1212302921973,81602756135194
1005.1180398976803,81602856135194
1005.11383,81602956135194
1005.1131098855235,81603056135194
1005.1062828276331,81603156135194
1005.100647544615,81603256135194
1005.1073,81603356135194
1005.1073,81603456135194
1005.1070619478493,81603556135194
1005.103639237983,81603656135194
1005.0918093347657,81603756135194
1005.0885878156224,81603856135194
1005.0779310974744,81603956135194
1005.064789576918,81604056135194
1005.0624291389418,81604156135194
1005.0626538767632,81604256135194
1005.0603517707458,81604356135194
1005.046995151055,81604456135194
1005.0366725951523,81604556135194
1005.0330335271287,81604656135194
1005.0320825446843,81604756135194
1005.0337890725701,81604856135194
1005.035107367,81604956135194
1005.0336258086024,81605056135194
1005.0297896984822,81605156135194
1005.0331181896948,81605256135194
1005.0328449192134,81605356135194
1005.0278381471707,81605456135194
1005.0229687256566,81605556135194
1005.0167823978162,81605656135194
1005.0112,81605756135194
1005.0117664168888,81605856135194
1005.0125234717565,81605956135194
1005.0099717872766,81606056135194
1005.0048649289454,81606156135194
1005.0022831115659,81606256135194
1005.001306320931,81606356135194
1004.9933198139172,81606456135194
1004.9843749566206,81606556135194
1004.9775182552237,81606656135194
1004.972825261166,81606756135194
1004.9714361516145,81606856135194
1004.9683783232315,81606956135194
1004.9618926830207,81607056135194
1004.9582586448411,81607156135194
1004.9597800952699,81607256135194
1004.9591,81607356135194
1004.957651509972,81607456135194
1004.9565761511109,81607556135194
1004.9560421404155,81607656135194
1004.9463000819425,81607756135194
1004.9360689163178,81607856135194
1004.9347388400639,81607956135194
1004.9308821095938,81608056135194
1004.9283384970389,81608156135194
1004.9287263650899,81608256135194
1004.9288582379717,81608356135194
1004.9267411011296,81608456135194
1004.9250952713139,81608556135194
1004.9276355581583,81608656135194
1004.929357911998,81608756135194
1004.9296517119493,81608856135194
1004.9254058250409,81608956135194
1004.919359310582,81609056135194
1004.912681856417,81609156135194
1004.9058864875777,81609256135194
1004.9045946088775,81609356135194
1004.9013129921594,81609456135194
1004.892119771238,81609556135194
1004.8884604522942,81609656135194
1004.8893,81609756135194
1004.8914280832796,81609856135194
1004.8940103920071,81609956135194
1004.8916294386303,81610056135194
1004.8905711625376,81610156135194
1004.8946515733007,81610256135194
1004.89685,81610356135194
1004.8972976661538,81610456135194
1004.8932235066987,81610556135194
1004.8872236921326,81610656135194
1004.8844653825084,81610756135194
1004.882918850726,81610856135194
1004.8780708482149,81610956135194
1004.8724622555352,81611056135194
1004.8663900716292,81611156135194
1004.8618004463658,81611256135194
1004.8561668951546,81611356135194
1004.8574777466345,81611456135194
1004.8582767548754,81611556135194
1004.8566421314121,81611656135194
1004.8564364305403,81611756135194
1004.8493588603965,81611856135194
1004.844755318097,81611956135194
1004.8410235691721,81612056135194
1004.8411663034605,81612156135194
1004.8418,81612256135194
1004.8430566166519,81612356135194
1004.8399144902082,81612456135194
1004.8409780723123,81612556135194
1004.8434390008734,81612656135194
1004.84430963329,81612756135194
1004.8494376055875,81612856135194
1004.8512601385039,81612956135194
1004.850012279363,81613056135194
1004.8483455026986,81613156135194
1004.8508404954114,81613256135194
1004.847742524754,81613356135194
1004.8409566174837,81613456135194
1004.8300444235692,81613556135194
1004.8235957300146,81613656135194
1004.8269661372707,81613756135194
1004.8313820914681,81613856135194
1004.8307437594149,81613956135194
1004.8334826730555,81614056135194
1004.8310348322022,81614156135194
1004.8249977009906,81614256135194
1004.822834153626,81614356135194
1004.8244949180596,81614456135194
1004.8263620508703,81614556135194
1004.822226149614,81614656135194
1004.8185972579296,81614756135194
1004.8234095998613,81614856135194
1004.8195987034428,81614956135194
1004.8191,81615056135194
1004.8160078880563,81615156135194
1004.8094649869596,81615256135194
1004.8046985186805,81615356135194
1004.7995579337911,81615456135194
1004.7997162810564,81615556135194
1004.79974,81615656135194
1004.79974,81615756135194
1004.799895350826,81615856135194
1004.8035697698427,81615956135194
1004.7973966428359,81616056135194
1004.7940884684164,81616156135194
1004.7923045827862,81616256135194
1004.7940459756458,81616356135194
1004.7905734494369,81616456135194
1004.7888153934805,81616556135194
1004.7756617660272,81616656135194
1004.781005571885,81616756135194
1004.7790125478896,81616856135194
1004.7725729398114,81616956135194
1004.7710034733394,81617056135194
1004.7654782960711,81617156135194
1004.7539514401302,81617256135194
1004.7487297840668,81617356135194
1004.7420381773692,81617456135194
1004.7375358103799,81617556135194
1004.737661182215,81617656135194
1004.735705165917,81617756135194
1004.7322971059756,81617856135194
1004.7305405933079,81617956135194
1004.7387520021239,81618056135194
1004.7439679562193,81618156135194
