UPTIMENANO,Ax,Ay,Az
69141093162022,-1.3124708,9.635164,-0.977168
69141113017895,-1.346001,9.632769,-0.99393314
69141132869638,-1.4034815,9.601633999999999,-0.98435307
69141152725255,-1.3986914,9.589659,-0.9364527
69141172581000,-1.3507911,9.620794,-0.9508228000000001
69141192436745,-1.3100758,9.642349000000001,-0.9699829
69141212292362,-1.2981006000000002,9.620794,-0.9867481
69141232140997,-1.3412110000000002,9.604028999999999,-0.93405765
69141251996486,-1.3891114,9.604028999999999,-0.91250247
69141271851955,-1.3891114,9.589659,-0.9388476999999998
69141291707444,-1.3507911,9.620794,-0.98435307
69141311562933,-1.3507911,9.654325,-0.9963281999999999
69141331418422,-1.3531861,9.620794,-0.9268726
69141351264359,-1.3819263000000002,9.596844,-0.8861573
69141371119720,-1.3867163999999998,9.601633999999999,-0.9580079
69141390974953,-1.3388159,9.613608000000001,-0.9987232
69141410830314,-1.3244458000000001,9.635164,-0.98195803
69141430683175,-1.3555812,9.599238,-0.9196875
69141450538408,-1.3795313,9.616004,-0.91250247
69141470393641,-1.346001,9.625584,-0.95561284
69141490248874,-1.3052857,9.644744000000001,-0.9699829
69141510104107,-1.2933106,9.632769,-0.9436377
69141529962594,-1.2981006000000002,9.604028999999999,-0.9364527
69141549817827,-1.331631,9.613608000000001,-0.92926764
69141569673188,-1.3651612,9.620794,-0.9316626
69141589528421,-1.3939015,9.611214,-0.9436377
69141609383654,-1.3747413,9.587264,-0.96040285
69141629239015,-1.3100758,9.613608000000001,-0.9915381
69141649089950,-1.2741505,9.68067,-0.9532178
69141668945055,-1.331631,9.690249,-0.9268726
69141688800288,-1.3891114,9.656719,-0.8909473
69141708655521,-1.3915064,9.635164,-0.8981324
69141728515228,-1.3412110000000002,9.613608000000001,-0.977168
69141748370569,-1.3148658000000002,9.611214,-1.0130934
69141768225802,-1.3100758,9.580078,-1.0154883
69141788081035,-1.3579761000000001,9.544153,-0.974773
69141807936396,-1.3819263000000002,9.570497999999999,-0.95561284
69141827789251,-1.3699511999999998,9.604028999999999,-0.98435307
69141847644612,-1.3268408999999999,9.613608000000001,-1.0083033000000001
69141867499845,-1.3076807,9.637559,-1.0035132
69141887355078,-1.3100758,9.651928999999999,-0.9580079
69141907210311,-1.3436059999999999,9.639954,-0.9436377
69141927065544,-1.3507911,9.649534,-0.9484278
69141946920741,-1.3268408999999999,9.649534,-0.9627979
69141966775974,-1.2957056999999998,9.618399,-0.93405765
69141986631207,-1.3436059999999999,9.604028999999999,-0.9532178
69142006486312,-1.3436059999999999,9.580078,-1.0633887
69142026350871,-1.3675561999999999,9.596844,-1.0633887
69142046206232,-1.3388159,9.601633999999999,-1.0202783000000002
69142066061721,-1.3148658000000002,9.639954,-0.90771246
69142085917082,-1.3148658000000002,9.627979,-0.9196875
69142105772443,-1.3292358999999998,9.64714,-0.974773
69142125627804,-1.3507911,9.687855,-0.90771246
69142145492301,-1.3028906999999998,9.64714,-0.95561284
69142165347918,-1.3124708,9.601633999999999,-0.9915381
69142185203535,-1.3076807,9.5633135,-0.9388476999999998
69142205059152,-1.2765454,9.5489435,-0.9364527
69142224914748,-1.2741505,9.601633999999999,-0.9532178
69142244771949,-1.2981006000000002,9.630374,-0.977168
69142264627566,-1.3436059999999999,9.630374,-0.9364527
69142284483183,-1.3675561999999999,9.637559,-0.8981324
69142304338800,-1.3268408999999999,9.589659,-0.93405765
69142324190375,-1.2957056999999998,9.594449000000001,-0.977168
69142344045992,-1.2885206,9.620794,-0.96040285
69142363901481,-1.3004956,9.606423,-0.9699829
69142383757098,-1.3843212999999999,9.72857,-0.9388476999999998
69142403612587,-1.3843212999999999,9.769285,-0.91729254
69142423468076,-1.3100758,9.68067,-0.9364527
69142443325265,-1.346001,9.616004,-0.9508228000000001
69142463180754,-1.3651612,9.587264,-0.9436377
69142483036371,-1.3507911,9.630374,-0.9412427
69142502891988,-1.3052857,9.587264,-0.90771246
69142522747477,-1.3004956,9.568104,-0.9915381
69142542612118,-1.3675561999999999,9.587264,-0.9963281999999999
69142562467991,-1.3723463,9.627979,-0.9580079
69142582323736,-1.3531861,9.587264,-0.88376224
69142602179609,-1.3364209999999999,9.582474000000001,-0.8909473
69142622033854,-1.3627661,9.627979,-0.92926764
69142641889727,-1.3364209999999999,9.697434,-0.91729254
69142661745600,-1.331631,9.6758795,-0.87178713
69142681601345,-1.3412110000000002,9.651928999999999,-0.8909473
69142701457198,-1.3364209999999999,9.663903999999999,-0.9580079
